number,incident_state,reassignment_count,reopen_count,made_sla,caller_id,opened_by,opened_at,contact_type,location,category,subcategory,u_symptom,impact,urgency,priority,assignment_group,assigned_to,knowledge,resolved_by,resolved_at
INC0000173,Closed,1,0,False,Caller 64,Opened by  4,2016-02-29 10:36:00,Phone,Location 131,Category 55,Subcategory 120,Symptom 580,3 - Low,2 - Medium,3 - Moderate,Group 65,Resolver 4,True,Resolved by 3,2016-04-11 14:49:00
INC0000199,Resolved,0,0,True,Caller 4145,Opened by  301,2016-02-29 11:06:00,Phone,Location 204,Category 42,Subcategory 106,Symptom 242,3 - Low,3 - Low,3 - Moderate,Group 70,Resolver 149,True,Resolved by 133,Unknown
INC0000199,Closed,0,0,True,Caller 4145,Opened by  301,2016-02-29 11:06:00,Phone,Location 204,Category 42,Subcategory 106,Symptom 242,3 - Low,3 - Low,3 - Moderate,Group 70,Resolver 149,True,Resolved by 133,Unknown
INC0000204,New,0,0,True,Caller 1878,Opened by  501,2016-02-29 11:13:00,Phone,Location 93,Category 53,Subcategory 168,Symptom 470,3 - Low,3 - Low,3 - Moderate,Group 23,Unknown,True,Resolved by 62,2016-02-29 16:43:00
INC0000204,Resolved,0,0,True,Caller 1878,Opened by  501,2016-02-29 11:13:00,Phone,Location 93,Category 53,Subcategory 168,Symptom 470,3 - Low,3 - Low,3 - Moderate,Group 23,Unknown,True,Resolved by 62,2016-02-29 16:43:00
INC0000204,Closed,0,0,True,Caller 1878,Opened by  501,2016-02-29 11:13:00,Phone,Location 93,Category 53,Subcategory 168,Symptom 470,3 - Low,3 - Low,3 - Moderate,Group 23,Unknown,True,Resolved by 62,2016-02-29 16:43:00
INC0000232,New,0,0,True,Caller 3032,Opened by  501,2016-02-29 12:20:00,Phone,Location 143,Category 45,Subcategory 200,Symptom 470,3 - Low,3 - Low,3 - Moderate,Group 12,Unknown,True,Resolved by 134,2016-03-12 21:23:00
INC0000232,New,1,0,True,Caller 3032,Opened by  501,2016-02-29 12:20:00,Phone,Location 143,Category 45,Subcategory 200,Symptom 470,3 - Low,3 - Low,3 - Moderate,Group 70,Unknown,True,Resolved by 134,2016-03-12 21:23:00
INC0000232,Awaiting User Info,1,0,True,Caller 3032,Opened by  501,2016-02-29 12:20:00,Phone,Location 143,Category 45,Subcategory 200,Symptom 470,3 - Low,3 - Low,3 - Moderate,Group 70,Unknown,True,Resolved by 134,2016-03-12 21:23:00
INC0000232,Resolved,1,0,True,Caller 3032,Opened by  501,2016-02-29 12:20:00,Phone,Location 143,Category 45,Subcategory 200,Symptom 470,3 - Low,3 - Low,3 - Moderate,Group 70,Resolver 150,True,Resolved by 134,2016-03-12 21:23:00
INC0000232,Closed,1,0,False,Caller 3032,Opened by  501,2016-02-29 12:20:00,Phone,Location 143,Category 45,Subcategory 200,Symptom 470,3 - Low,3 - Low,3 - Moderate,Group 70,Resolver 150,True,Resolved by 134,2016-03-12 21:23:00
INC0000261,Active,0,0,True,Caller 1393,Opened by  128,2016-02-29 12:54:00,Phone,Location 197,Category 42,Subcategory 31,Symptom 273,1 - High,1 - High,1 - Critical,Group 3,Resolver 71,True,Resolved by 64,2016-02-29 17:47:00
INC0000261,Resolved,0,0,True,Caller 1393,Opened by  128,2016-02-29 12:54:00,Phone,Location 197,Category 42,Subcategory 31,Symptom 273,1 - High,1 - High,1 - Critical,Group 3,Resolver 71,True,Resolved by 64,2016-02-29 17:47:00
INC0000261,Closed,0,0,True,Caller 1393,Opened by  128,2016-02-29 12:54:00,Phone,Location 197,Category 42,Subcategory 31,Symptom 273,1 - High,1 - High,1 - Critical,Group 3,Resolver 71,True,Resolved by 64,2016-02-29 17:47:00
INC0000272,New,0,0,True,Caller 4167,Opened by  221,2016-02-29 13:36:00,Phone,Location 143,Category 42,Subcategory 31,Symptom 4,3 - Low,2 - Medium,3 - Moderate,Group 3,Unknown,True,Resolved by 166,2016-03-08 15:35:00
INC0000272,New,1,0,True,Caller 4167,Opened by  221,2016-02-29 13:36:00,Phone,Location 143,Category 42,Subcategory 31,Symptom 4,3 - Low,2 - Medium,3 - Moderate,Group 70,Unknown,True,Resolved by 166,2016-03-08 15:35:00
INC0000272,New,2,0,True,Caller 4167,Opened by  221,2016-02-29 13:36:00,Phone,Location 143,Category 42,Subcategory 31,Symptom 4,3 - Low,2 - Medium,3 - Moderate,Group 55,Unknown,True,Resolved by 166,2016-03-08 15:35:00
INC0000272,New,3,0,True,Caller 4167,Opened by  221,2016-02-29 13:36:00,Phone,Location 143,Category 42,Subcategory 31,Symptom 4,3 - Low,2 - Medium,3 - Moderate,Group 70,Unknown,True,Resolved by 166,2016-03-08 15:35:00
INC0000272,New,4,0,True,Caller 4167,Opened by  221,2016-02-29 13:36:00,Phone,Location 143,Category 42,Subcategory 31,Symptom 4,3 - Low,2 - Medium,3 - Moderate,Group 39,Unknown,True,Resolved by 166,2016-03-08 15:35:00
INC0000272,Resolved,4,0,True,Caller 4167,Opened by  221,2016-02-29 13:36:00,Phone,Location 143,Category 42,Subcategory 31,Symptom 4,3 - Low,2 - Medium,3 - Moderate,Group 39,Unknown,True,Resolved by 166,2016-03-08 15:35:00
INC0000272,Closed,4,0,False,Caller 4167,Opened by  221,2016-02-29 13:36:00,Phone,Location 143,Category 42,Subcategory 31,Symptom 4,3 - Low,2 - Medium,3 - Moderate,Group 39,Unknown,True,Resolved by 166,2016-03-08 15:35:00
INC0000292,New,0,0,True,Caller 1163,Opened by  501,2016-02-29 14:04:00,Phone,Location 143,Category 20,Subcategory 125,Symptom 580,3 - Low,3 - Low,3 - Moderate,Group 12,Resolver 236,True,Resolved by 215,2016-03-02 09:57:00
INC0000292,New,1,0,True,Caller 1163,Opened by  501,2016-02-29 14:04:00,Phone,Location 143,Category 20,Subcategory 125,Symptom 486,3 - Low,3 - Low,3 - Moderate,Group 28,Resolver 236,True,Resolved by 215,2016-03-02 09:57:00
INC0000292,New,2,0,True,Caller 1163,Opened by  501,2016-02-29 14:04:00,Phone,Location 143,Category 20,Subcategory 125,Symptom 486,3 - Low,3 - Low,3 - Moderate,Group 70,Resolver 236,True,Resolved by 215,2016-03-02 09:57:00
INC0000292,Active,2,0,True,Caller 1163,Opened by  501,2016-02-29 14:04:00,Phone,Location 143,Category 20,Subcategory 125,Symptom 486,3 - Low,3 - Low,3 - Moderate,Group 70,Resolver 127,True,Resolved by 215,2016-03-02 09:57:00
INC0000292,Active,3,0,True,Caller 1163,Opened by  501,2016-02-29 14:04:00,Phone,Location 143,Category 20,Subcategory 125,Symptom 486,3 - Low,3 - Low,3 - Moderate,Group 28,Unknown,True,Resolved by 215,2016-03-02 09:57:00
INC0000292,Active,3,0,True,Caller 1163,Opened by  501,2016-02-29 14:04:00,Phone,Location 143,Category 20,Subcategory 125,Symptom 486,3 - Low,3 - Low,3 - Moderate,Group 28,Resolver 236,True,Resolved by 215,2016-03-02 09:57:00
INC0000292,Resolved,3,0,True,Caller 1163,Opened by  501,2016-02-29 14:04:00,Phone,Location 143,Category 20,Subcategory 125,Symptom 486,3 - Low,3 - Low,3 - Moderate,Group 28,Resolver 236,True,Resolved by 215,2016-03-02 09:57:00
INC0000292,Closed,3,0,True,Caller 1163,Opened by  501,2016-02-29 14:04:00,Phone,Location 143,Category 20,Subcategory 125,Symptom 486,3 - Low,3 - Low,3 - Moderate,Group 28,Resolver 236,True,Resolved by 215,2016-03-02 09:57:00
INC0000298,Active,0,0,True,Caller 5051,Opened by  433,2016-02-29 14:16:00,Phone,Location 204,Category 53,Subcategory 113,Unknown,3 - Low,3 - Low,3 - Moderate,Group 66,Resolver 175,True,Resolved by 16,2016-11-25 08:07:00
INC0000298,Awaiting User Info,0,0,True,Caller 5051,Opened by  433,2016-02-29 14:16:00,Phone,Location 204,Category 53,Subcategory 113,Unknown,3 - Low,3 - Low,3 - Moderate,Group 66,Resolver 175,True,Resolved by 16,2016-11-25 08:07:00
INC0000298,Awaiting User Info,0,0,True,Caller 5051,Opened by  433,2016-02-29 14:16:00,Phone,Location 204,Category 53,Subcategory 113,Unknown,3 - Low,3 - Low,3 - Moderate,Group 66,Resolver 18,True,Resolved by 16,2016-11-25 08:07:00
INC0000298,Resolved,0,0,True,Caller 5051,Opened by  433,2016-02-29 14:16:00,Phone,Location 204,Category 53,Subcategory 113,Unknown,3 - Low,3 - Low,3 - Moderate,Group 66,Resolver 18,False,Resolved by 16,2016-11-25 08:07:00
INC0000298,Closed,0,0,False,Caller 5051,Opened by  433,2016-02-29 14:16:00,Phone,Location 204,Category 53,Subcategory 113,Unknown,3 - Low,3 - Low,3 - Moderate,Group 66,Resolver 18,False,Resolved by 16,2016-11-25 08:07:00
INC0000303,Active,0,0,True,Caller 3479,Opened by  325,2016-02-29 14:23:00,Phone,Location 143,Category 53,Subcategory 109,Symptom 208,3 - Low,3 - Low,3 - Moderate,Group 33,Resolver 159,True,Resolved by 143,2016-03-10 17:47:00
INC0000303,Awaiting Problem,0,0,True,Caller 3479,Opened by  325,2016-02-29 14:23:00,Phone,Location 143,Category 53,Subcategory 109,Symptom 208,3 - Low,3 - Low,3 - Moderate,Group 33,Resolver 159,True,Resolved by 143,2016-03-10 17:47:00
INC0000303,Awaiting User Info,0,0,True,Caller 3479,Opened by  325,2016-02-29 14:23:00,Phone,Location 143,Category 53,Subcategory 109,Symptom 208,3 - Low,3 - Low,3 - Moderate,Group 33,Resolver 159,True,Resolved by 143,2016-03-10 17:47:00
INC0000303,Resolved,0,0,True,Caller 3479,Opened by  325,2016-02-29 14:23:00,Phone,Location 143,Category 53,Subcategory 109,Symptom 208,3 - Low,3 - Low,3 - Moderate,Group 33,Resolver 159,True,Resolved by 143,2016-03-10 17:47:00
INC0000303,Closed,0,0,False,Caller 3479,Opened by  325,2016-02-29 14:23:00,Phone,Location 143,Category 53,Subcategory 109,Symptom 208,3 - Low,3 - Low,3 - Moderate,Group 33,Resolver 159,True,Resolved by 143,2016-03-10 17:47:00
INC0000307,Active,0,0,True,Caller 3038,Opened by  433,2016-02-29 14:30:00,Phone,Location 204,Category 45,Subcategory 220,Unknown,3 - Low,3 - Low,3 - Moderate,Group 66,Resolver 175,True,Resolved by 16,2016-12-19 14:55:00
INC0000307,Awaiting User Info,0,0,True,Caller 3038,Opened by  433,2016-02-29 14:30:00,Phone,Location 204,Category 45,Subcategory 220,Unknown,3 - Low,3 - Low,3 - Moderate,Group 66,Resolver 175,True,Resolved by 16,2016-12-19 14:55:00
INC0000307,Awaiting User Info,0,0,True,Caller 3038,Opened by  433,2016-02-29 14:30:00,Phone,Location 204,Category 45,Subcategory 220,Unknown,3 - Low,3 - Low,3 - Moderate,Group 66,Resolver 18,True,Resolved by 16,2016-12-19 14:55:00
INC0000307,Resolved,0,0,True,Caller 3038,Opened by  433,2016-02-29 14:30:00,Phone,Location 204,Category 45,Subcategory 220,Unknown,3 - Low,3 - Low,3 - Moderate,Group 66,Resolver 18,False,Resolved by 16,2016-12-19 14:55:00
INC0000307,Closed,0,0,False,Caller 3038,Opened by  433,2016-02-29 14:30:00,Phone,Location 204,Category 45,Subcategory 220,Unknown,3 - Low,3 - Low,3 - Moderate,Group 66,Resolver 18,False,Resolved by 16,2016-12-19 14:55:00
INC0000310,Active,0,0,True,Caller 369,Opened by  433,2016-02-29 14:33:00,Phone,Location 204,Category 45,Subcategory 220,Unknown,3 - Low,3 - Low,3 - Moderate,Group 66,Resolver 175,True,Resolved by 184,2016-03-01 13:47:00
INC0000310,Awaiting User Info,0,0,True,Caller 369,Opened by  433,2016-02-29 14:33:00,Phone,Location 204,Category 45,Subcategory 220,Unknown,3 - Low,3 - Low,3 - Moderate,Group 66,Resolver 175,True,Resolved by 184,2016-03-01 13:47:00
INC0000310,Resolved,0,0,True,Caller 369,Opened by  433,2016-02-29 14:33:00,Phone,Location 204,Category 45,Subcategory 220,Unknown,3 - Low,3 - Low,3 - Moderate,Group 66,Resolver 175,True,Resolved by 184,2016-03-01 13:47:00
INC0000310,Closed,0,0,True,Caller 369,Opened by  433,2016-02-29 14:33:00,Phone,Location 204,Category 45,Subcategory 220,Unknown,3 - Low,3 - Low,3 - Moderate,Group 66,Resolver 175,True,Resolved by 184,2016-03-01 13:47:00
INC0000317,Active,0,0,True,Caller 387,Opened by  433,2016-02-29 14:40:00,Phone,Location 204,Category 45,Subcategory 220,Unknown,3 - Low,3 - Low,3 - Moderate,Group 66,Resolver 175,True,Resolved by 158,2016-04-25 17:06:00
INC0000317,Awaiting User Info,0,0,True,Caller 387,Opened by  433,2016-02-29 14:40:00,Phone,Location 204,Category 45,Subcategory 220,Unknown,3 - Low,3 - Low,3 - Moderate,Group 66,Resolver 175,True,Resolved by 158,2016-04-25 17:06:00
